index,link_normativo,assunto_normativo,aplicavel_bndes,relevancia,Area_ACO,Area_ADIG,Area_AEC,Area_AEX,Area_AF,Area_AGR,Area_AI,Area_AIC,Area_AINFRA,Area_AINT,Area_AJI,Area_AJN,Area_AMA,Area_AMC,Area_AP,Area_ARD,Area_ARH,Area_ARMC,Area_AS,Area_ASC,Area_ASI,Area_ASN,Area_AT,Area_ATI,Area_DIR9,Area_GP
2555,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/conjunto/anexos/oc-snc-sse-sin-0125.pdf,"Orientações gerais sobre a elaboração das demonstrações contábeis dos fundos de investimento e das classes de cotas, em relação à vigência da Resolução CVM 175/22.",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2227,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-anual-sep-2025.pdf,"Orientações gerais sobre procedimentos a serem observados pelas companhias abertas, estrangeiras e incentivadas.",Sim,Alta,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2451,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-sep-0125.pdf,Novas associações para envio dos mapas de votação - Sistema Empresas.Net.,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1888,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-sep-0225.pdf,Aprimoramentos no Sistema Empresas.Net,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-sep-0325.pdf,Aprimoramentos no Sistema Empresas.Net.,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-sep-0425.pdf,Atualização do manual de envio de informações periódicas e eventuais pelo Sistema Empresas.Net.,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/oc-sin-0125.pdf,Nova dinâmica operacional para a obtenção de cadastro e CPF para os investidores não residentes dispensados de registro na CVM nos termos da Resolução CVM nº 13,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2564,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/oc-sin-0225.pdf,Interpretação de dispositivos da Parte Geral e do Anexo Normativo IV da Resolução CVM nº 175,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
655,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/oc-sin-0325.pdf,"Orientações sobre o serviço de Copytrade no contexto dos mercados financeiro e de capitais, a fim de garantir que os profissionais envolvidos e as plataformas prestadoras do serviço cumpram com a regu...",Sim,Baixa,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
367,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/oc-sin-0425.pdf,"Interpretações sobre os Fundos de Índice (""ETF"") e BDRs-ETF",Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2339,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/occ-sin-smi-0125.pdf,Monitoramento de operações e comunicação à CVM previstos nos incisos IV e IX do art. 33 da Resolução CVM nº 35/2021 - Ofício-Circular nº 1/2024/CVM/SMI,Sim,Média,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2167,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/occ-sin-smi-sse-0125.pdf,Conteúdo cadastral mínimo de investidores a ser mantido pelas entidades administradoras de mercados organizados (EAMOs) e pelas instituições operadoras de sistema do mercado financeiro (IOSMFs).,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3092,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/smi/anexos/oc-smi-0125.pdf,Orienta os diretores responsáveis de sociedades de assessores de investimentos e de intermediários contratantes de assessores de investimentos sobre o Programa de Educação Continuada previsto na Resol...,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc-sse/anexos/oc-conjunto-snc-sse-sin-0225.pdf,Ressalvas e Abstenções de Opinião em Relatórios de Auditoria de Fundos de Investimento.,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1334,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc-sse/anexos/oc-sse-SNC-0225.pdf,Complemento ao Ofício-Circular nº 1/2025/CVM/SSE/SNC - distribuição de rendimentos em FIAGRO.,Sim,Baixa,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1837,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc-sse/anexos/oc-sse-snc-0125.pdf,Política de distribuição de rendimentos dos Fundos de Investimento nas Cadeias Produtivas do Agronegócio - FIAGRO,Sim,Média,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1512,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc/anexos/ocsncgna0125.pdf,Esclarecimentos relacionados à atuação do auditor contábil independente no âmbito do mercado de valores mobiliários.,Sim,Baixa,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1163,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/soi/anexos/oficiocircularsoigoi012025.pdf,Verificação dos Relatórios de Ouvidoria previstos na Resolução CVM 43/2022,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sre/anexos/oc-sre-0125.pdf,Orientações sobre requerimentos de registro automático de ofertas públicas de distribuição de FIAGRO e de Outros Títulos de Securitização (que não sejam Certificados de Recebíveis) - Lei nº 14.430 e R...,Sim,Média,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1223,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sre/anexos/oc-sre-0225.pdf,Orientações gerais sobre procedimentos a serem observados pelas instituições intermediários nos requerimentos de registro de ofertas públicas de distribuição de valores mobiliários - Resolução CVM nº ...,Sim,Média,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
957,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse-sin-snc/anexos/oc-snc-sse-sin-0125.pdf,"Orientações gerais sobre a elaboração das demonstrações contábeis dos fundos de investimento e das classes de cotas, em relação à vigência da Resolução CVM nº 175/22.",Sim,Média,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2236,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0125.pdf,"Adaptação dos Sistemas SGF e Fundos.Net ao Anexo Normativo VI à Resolução CVM nº 175 (""AN VI"").",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2035,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0225.pdf,Responsabilidade limitada dos cotistas FII,Sim,Média,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0325.pdf,Adaptação do FIAGRO ao Anexo Normativo VI à Resolução CVM nº 175.,Sim,Média,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
612,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0425.pdf,Orientações Gerais às Plataformas sobre o cumprimento de dispositivos da Resolução CVM nº 88.,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2984,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0625.pdf,Contratação de Agente Fiduciário nas ofertas de títulos de securitização via Crowdfunding.,Sim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2901,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0725.pdf,Unificação dos cadastros de Administrador de FIDC e FII com o cadastro de Administrador de Carteiras.,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
