index,link_normativo,assunto_normativo,aplicavel_bndes,relevancia,Area_ACO,Area_ADIG,Area_AEC,Area_AEX,Area_AF,Area_AGR,Area_AI,Area_AIC,Area_AINFRA,Area_AINT,Area_AJI,Area_AJN,Area_AMA,Area_AMC,Area_AP,Area_ARD,Area_ARH,Area_ARMC,Area_AS,Area_ASC,Area_ASI,Area_ASN,Area_AT,Area_ATI,Area_DIR9,Area_GP
2555,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/conjunto/anexos/oc-snc-sse-sin-0125.pdf,"Orientações gerais sobre a elaboração das demonstrações contábeis dos fundos de investimento e das classes de cotas, em relação à vigência da Resolução CVM 175/22.",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2227,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-anual-sep-2025.pdf,"Orientações gerais sobre procedimentos a serem observados pelas companhias abertas, estrangeiras e incentivadas.",Sim,Alta,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2451,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sep/anexos/oc-sep-0125.pdf,Novas associações para envio dos mapas de votação - Sistema Empresas.Net.,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2564,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/oc-sin-0225.pdf,Interpretação de dispositivos da Parte Geral e do Anexo Normativo IV da Resolução CVM nº 175,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
655,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/oc-sin-0325.pdf,"Orientações sobre o serviço de Copytrade no contexto dos mercados financeiro e de capitais, a fim de garantir que os profissionais envolvidos e as plataformas prestadoras do serviço cumpram com a regu...",Sim,Baixa,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2339,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/occ-sin-smi-0125.pdf,Monitoramento de operações e comunicação à CVM previstos nos incisos IV e IX do art. 33 da Resolução CVM nº 35/2021 - Ofício-Circular nº 1/2024/CVM/SMI,Sim,Média,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2167,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sin/anexos/occ-sin-smi-sse-0125.pdf,Conteúdo cadastral mínimo de investidores a ser mantido pelas entidades administradoras de mercados organizados (EAMOs) e pelas instituições operadoras de sistema do mercado financeiro (IOSMFs).,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1062,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc-sse/anexos/oc-conjunto-snc-sse-sin-0225.pdf,Ressalvas e Abstenções de Opinião em Relatórios de Auditoria de Fundos de Investimento.,Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1334,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc-sse/anexos/oc-sse-SNC-0225.pdf,Complemento ao Ofício-Circular nº 1/2025/CVM/SSE/SNC - distribuição de rendimentos em FIAGRO.,Sim,Baixa,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1837,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc-sse/anexos/oc-sse-snc-0125.pdf,Política de distribuição de rendimentos dos Fundos de Investimento nas Cadeias Produtivas do Agronegócio - FIAGRO,Sim,Média,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1512,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/snc/anexos/ocsncgna0125.pdf,Esclarecimentos relacionados à atuação do auditor contábil independente no âmbito do mercado de valores mobiliários.,Sim,Baixa,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1587,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sre/anexos/oc-sre-0125.pdf,Orientações sobre requerimentos de registro automático de ofertas públicas de distribuição de FIAGRO e de Outros Títulos de Securitização (que não sejam Certificados de Recebíveis) - Lei nº 14.430 e R...,Sim,Média,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1223,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sre/anexos/oc-sre-0225.pdf,Orientações gerais sobre procedimentos a serem observados pelas instituições intermediários nos requerimentos de registro de ofertas públicas de distribuição de valores mobiliários - Resolução CVM nº ...,Sim,Média,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
957,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse-sin-snc/anexos/oc-snc-sse-sin-0125.pdf,"Orientações gerais sobre a elaboração das demonstrações contábeis dos fundos de investimento e das classes de cotas, em relação à vigência da Resolução CVM nº 175/22.",Sim,Média,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2236,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0125.pdf,"Adaptação dos Sistemas SGF e Fundos.Net ao Anexo Normativo VI à Resolução CVM nº 175 (""AN VI"").",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2035,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0225.pdf,Responsabilidade limitada dos cotistas FII,Sim,Média,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/oc-sse-0325.pdf,Adaptação do FIAGRO ao Anexo Normativo VI à Resolução CVM nº 175.,Sim,Média,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
333,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/oficios-circulares/sse1/anexos/ocsse0525.pdf,"Ofício Circular para comunicar ao mercado a respeito de atualizações no sistema FundosNet, com aprimoramentos nos formulários estruturados.",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1886,http://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/200/resol227.pdf,"Altera a Resolução CVM nº 193, de 20 de outubro de 2023.(Publicada no DOU de 01.04.2025)",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1291,http://conteudo.cvm.gov.br/legislacao/resolucoes/anexos/200/resol229.htm,"Altera a Resolução CVM nº 209, de 26 de agosto de 2024, e a Resolução CVM nº 210, de 26 de agosto de 2024.(Publicada no DOU de 23.05.2025)",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
868,http://conteudo.cvm.gov.br/legislacao/resolucoes/anexos/200/resol230.htm,"Altera as Resoluções CVM nº 215 e 216, ambas de 29 de outubro de 2024.(Publicada no DOU de 23.06.2025)",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
590,http://conteudo.cvm.gov.br/legislacao/resolucoes/anexos/200/resol231.htm,"Altera as Resoluções CVM nº 80, de 29 de março de 2022, e CVM nº 166, de 1º de setembro de 2022.(Publicada no DOU de 04.07.2025)",Sim,Baixa,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
594,http://conteudo.cvm.gov.br/legislacao/resolucoes/anexos/200/resol232.htm,Dispõe sobre as regras aplicáveis ao regime de Facilitação do Acesso a Capital e de Incentivos a Listagens – FÁCIL no âmbito do mercado de capitais.(Publicada no DOU de 04.07.2025),Sim,Alta,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
482,http://conteudo.cvm.gov.br/legislacao/resolucoes/anexos/200/resol233.htm,"Altera a Resolução CVM nº 24, de 5 de março de 2021.(Publicada no DOU de 15.07.2025)",Sim,Baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,http://conteudo.cvm.gov.br/legislacao/resolucoes/anexos/200/resol234.htm,"Dispõe sobre o cadastro de participantes do mercado de valores mobiliários na Comissão de Valores Mobiliários e revoga a Resolução CVM nº 51, de 31 de agosto de 2021.(Publicada no DOU de 05.08.2025)...",Sim,Média,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2188,http://conteudo.cvm.gov.br/legislacao/resolucoes/resol226.html,"Altera as Resoluções CVM nº 17, de 9 de fevereiro de 2021, CVM nº 60, de 23 de dezembro de 2021, CVM nº 80, de 29 de março de 2022, CVM nº 88, de 27 de abril de 2022, e CVM nº 160, de 13 de julho de 2...",Sim,Média,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
